#MASS,A,PLANETDISCMETH
#mjupiter,au,
22.6261,1.45528,RV
21.8549,0.0573788,Transit
20.3246,1.17509,RV
19.8471,2.5395,RV
18.3282,3.17098,RV
18.1805,0.155007,Transit
17.3857,2.85281,RV
16.8244,0.811776,RV
16.1284,1.17872,RV
15.2138,0.0756944,RV
14.2696,1.22574,RV
14.0573,2.09115,RV
13.8403,1.16847,RV
13.2921,1.08727,RV
13.2849,0.0477112,Transit
13.1868,2.3791,RV
12.2603,3.6002,RV
11.8793,2.05522,Transit
11.8883,1.04992,RV
11.6809,2.33328,RV
11.6351,0.362932,RV
11.1883,1.60044,RV
11.0873,1.53498,RV
11.0869,4.37827,RV
11.0076,1.11751,RV
11,9.04,Imaging
10.4511,6.21822,RV
10.3882,0.0466557,Transit
10.3722,1.29554,RV
10.298,2.58655,RV
10.2006,0.0201401,Transit
10.0754,2.34618,RV
10.088,3.34651,RV
10.0105,1.6471,RV
10,1.39588,RV
10.014,2.099,RV
9.98479,0.0807413,Transit
9.88561,1.68103,RV
9.87792,0.99475,RV
9.7848,0.494507,RV
9.68782,3.80821,RV
9.5,26.7553,Imaging
9.5,42.4842,Imaging
9.4752,1.50087,RV
9.45161,1.29459,RV
9.31534,1.31029,RV
9.26951,3.26519,RV
9.12785,1.1241,RV
8.87066,0.0679088,Transit
8.57451,2.81079,RV
8.40643,0.0806879,Transit
8.24664,3.8997,RV
8.2,0.812352,RV
8.18778,0.902604,RV
7.81295,3.36797,RV
7.8,1.67364,RV
7.77836,2.40085,RV
7.74272,2.77219,RV
7.69745,0.29385,RV
7.69464,0.0269122,Transit
7.69234,0.0367693,Transit
7.67663,1.93647,RV
7.63003,1.33658,RV
7.46144,0.483601,RV
7.40012,2.063,RV
7.3,1.68144,Transit Timing Variations
7.28868,1.33364,RV
7.28953,0.03616,Transit
7.29127,0.344904,RV
7.13242,0.876999,RV
7.12332,1.25186,RV
7.03702,0.724323,Transit
7,14.5253,Imaging
7,67.4293,Imaging
6.95913,2.61147,RV
6.91979,1.08598,RV
6.90191,1.45701,RV
6.87654,1.9372,RV
6.84182,1.97489,RV
6.62362,0.746644,RV
6.63106,1.6555,RV
6.62738,2.84117,RV
6.59355,1.92274,RV
6.55071,1.08513,RV
6.515,0.0342279,Transit
6.52644,1.36191,RV
6.47072,0.937147,RV
6.44514,1.2589,RV
6.28868,1.61027,RV
6.23505,2.13177,RV
6.1,1.4219,RV
6.08461,0.028034,Transit
6.04937,1.23696,RV
6.02254,2.42516,RV
6.01,1.24152,RV
6.00119,2.80589,RV
5.95,0.0480039,RV
5.94193,2.60478,RV
5.92499,2.19755,RV
5.82191,0.0427555,Transit
5.80266,0.528741,RV
5.79721,1.02341,RV
5.78201,0.450064,RV
5.6,6.45931,RV
5.60495,1.98227,RV
5.48299,2.77823,RV
5.41,0.301404,Transit
5.40146,0.214338,RV
5.31949,1.91887,RV
5.22845,0.636168,RV
5.21486,2.93362,RV
5.13,2.03386,RV
5.12319,1.33884,RV
5.0362,1.2802,RV
5.01069,0.520622,RV
4.96206,1.30798,RV
4.9174,0.678014,RV
4.91277,0.228745,RV
4.83617,0.0515037,Transit
4.7347,2.60488,RV
4.68383,0.823151,RV
4.65551,2.12634,RV
4.57442,0.0413279,Transit
4.58986,2.17458,RV
4.59415,5.15426,RV
4.53249,1.88529,RV
4.46762,2.93163,RV
4.4772,4.26892,RV
4.47808,1.80892,RV
4.44725,2.53363,RV
4.43286,1.80757,RV
4.39876,2.26097,RV
4.31985,0.0412815,Transit
4.31177,0.0378387,Transit
4.31096,2.28088,RV
4.30224,1.7133,RV
4.24,0.0901485,Transit
4.2025,0.0413275,Transit
4.11582,2.52452,RV
4.10898,0.512595,RV
4.09607,3.94973,RV
4.07833,0.0494951,Transit
4.06407,3.60184,RV
4.02224,0.846038,RV
4.02189,4.92406,RV
4.00701,1.42112,RV
4.0077,0.602232,RV
4.00104,0.114217,RV
3.99885,0.0466301,Transit
3.94504,1.14933,RV
3.89054,0.447343,RV
3.87441,0.0692271,RV
3.8,3.54863,Microlensing
3.77395,0.388877,RV
3.73203,1.16693,RV
3.61213,2.71944,RV
3.57989,0.136688,RV
3.57445,1.49006,RV
3.56392,0.951142,RV
3.54451,5.47467,RV
3.50295,3.52689,RV
3.50088,3.07131,RV
3.4773,2.00715,RV
3.48652,0.0295483,Transit
3.47646,4.29488,RV
3.45362,0.0390315,Transit
3.42866,1.41366,RV
3.42269,1.98497,RV
3.36552,3.81754,RV
3.3748,0.494668,RV
3.34549,0.595162,RV
3.334,0.0677467,Transit
3.30275,0.163197,RV
3.28703,1.91985,RV
3.27527,0.0280884,Transit
3.24848,1.74533,RV
3.23143,0.0449294,Transit
3.22241,0.0542977,Transit
3.19144,0.0384536,Transit
3.18484,0.740087,RV
3.1741,4.75375,RV
3.14944,1.777,RV
3.11535,1.25015,RV
3.07016,0.688457,RV
3.09805,1.08217,RV
3.0853,0.0483417,Transit
3.06805,1.3728,RV
3.06257,2.19849,RV
2.97516,0.950245,Transit
2.98416,0.297295,RV
2.97219,0.762504,RV
2.95364,0.0854177,Transit
2.9439,2.54171,RV
2.9072,1.27206,RV
2.89937,0.543924,RV
2.88946,0.813279,RV
2.8638,1.97816,RV
2.8556,0.646509,RV
2.86,0.114265,Transit
2.8434,2.51056,RV
2.83,1.03346,RV
2.82,0.0678214,Transit
2.80946,1.13113,RV
2.80174,0.283337,RV
2.78,0.0716458,Transit
2.76572,1.45325,RV
2.75822,1.75739,RV
2.7597,1.97678,RV
2.75536,0.105463,Transit
2.74962,3.14259,RV
2.74218,0.0204134,Transit
2.74014,0.0503097,Transit
2.74209,1.28031,RV
2.71808,1.16272,RV
2.70901,0.0758454,Transit
2.70016,1.16471,RV
2.6885,1.30299,RV
2.6907,0.811148,RV
2.68652,0.0468614,Transit
2.68597,0.706259,RV
2.61546,5.33414,RV
2.60901,2.54268,RV
2.6,1.76808,Microlensing
2.57917,5.35635,RV
2.54762,3.43052,RV
2.54589,2.10149,RV
2.51504,1.18906,RV
2.5485,1.28444,RV
2.5,0.697981,RV
2.5,0.370106,Transit
2.49717,0.241901,RV
2.48409,0.0215077,Transit
2.47943,0.0267923,Transit
2.45698,2.28031,RV
2.46001,0.0480499,Transit
2.46312,1.57999,RV
2.45451,0.0254851,Transit
2.4433,1.59509,RV
2.43513,0.0323373,Transit
2.43024,2.06698,RV
2.43233,1.80264,RV
2.4209,1.02831,RV
2.36402,1.17816,RV
2.4,1.12966,RV
2.37727,1.19218,RV
2.37911,0.0479738,Transit
2.36493,4.60219,RV
2.34813,0.0440549,Transit
2.3408,0.838172,RV
2.33098,2.49004,RV
2.31346,0.0546221,Transit
2.3,4.43476,RV
2.29191,1.12292,RV
2.2924,2.41789,RV
2.28382,4.6069,RV
2.26929,0.0262601,Transit
2.24603,1.35778,RV
2.24797,1.2912,RV
2.242,0.0463361,Transit
2.24099,6.15467,Timing
2.24115,2.1121,RV
2.23603,0.0606258,Transit
2.20888,2.18639,RV
2.18029,0.0423182,Transit
2.20004,2.29553,RV
2.17684,0.0806644,Transit
2.17173,1.13327,RV
2.16904,0.0611921,Transit
2.16817,2.48556,RV
2.16279,0.0271372,Transit
2.15137,0.0414094,Transit
2.13797,0.080153,Transit
2.13623,0.0702997,RV
2.13331,0.0410282,Transit
2.12711,0.238855,RV
2.12353,1.32398,RV
2.11663,0.0506416,Transit
2.11299,0.358346,RV
2.10232,0.0244921,Transit
2.1,2.33538,RV
2.09606,0.0231971,Transit
2.08215,1.16537,RV
2.05491,0.0514489,Transit
2.04683,0.92376,RV
2.03,0.0457351,Transit
2.02633,5.13864,RV
2.01184,0.0314948,Transit
2.01385,0.300013,Transit
2.00901,0.947319,RV
1.98574,0.0538776,Transit
2.01,0.0278077,Transit
1.9935,1.29111,RV
1.99403,2.06593,RV
1.98809,1.31895,RV
1.98164,0.0176159,Transit
1.97931,0.723051,RV
1.97113,1.53703,RV
1.9747,2.71619,RV
1.96509,1.76349,RV
1.96,1.59543,RV
1.95154,0.0964692,Transit
1.9469,0.208098,RV
1.94873,1.64347,RV
1.9487,2.91927,RV
1.9422,4.83146,RV
1.925,0.089107,Transit
1.91855,0.830445,RV
1.91,0.0227178,Transit
1.90944,3.18072,RV
1.9075,1.64869,RV
1.9,0.804743,RV
1.8997,1.31659,RV
1.90043,0.0243585,Transit
1.9,1.36607,RV
1.90296,2.07238,RV
1.88907,5.34057,RV
1.89038,2.77628,RV
1.88059,0.0551807,Transit
1.88274,0.531449,RV
1.88123,5.14931,RV
1.86507,0.0444708,Transit
